distribution,votes,rank,title,year
0000000125,1610992.0,9.2,The Shawshank Redemption,1994
0000000125,1103221.0,9.2,The Godfather,1972
0000000124,750894.0,9.0,The Godfather: Part II,1974
0000000124,1586887.0,8.9,The Dark Knight,2008
0000000123,1260525.0,8.9,Pulp Fiction,1994
0000000133,822426.0,8.9,Schindler's List,1993
0000000133,421806.0,8.9,12 Angry Men,1957
0000000124,1158405.0,8.9,The Lord of the Rings: The Return of the King,2003
0000000123,480732.0,8.9,"Il buono, il brutto, il cattivo",1966
0000000133,1278298.0,8.8,Fight Club,1999
0000000123,1182249.0,8.8,The Lord of the Rings: The Fellowship of the Ring,2001
0000000223,790232.0,8.7,Star Wars: Episode V - The Empire Strikes Back,1980
0000000133,1180243.0,8.7,Forrest Gump,1994
0000000123,1388597.0,8.7,Inception,2010
0000000232,649781.0,8.7,One Flew Over the Cuckoo's Nest,1975
0000000123,1046331.0,8.7,The Lord of the Rings: The Two Towers,2002
0000000232,694107.0,8.7,Goodfellas,1990
0000000233,1159338.0,8.7,The Matrix,1999
0000000123,219410.0,8.7,Shichinin no samurai,1954
0000000223,863899.0,8.6,Star Wars,1977
0000000232,510263.0,8.6,Cidade de Deus,2002
0000001232,971459.0,8.6,Se7en,1995
0000001232,838797.0,8.6,The Silence of the Lambs,1991
0000000232,706535.0,8.6,The Usual Suspects,1995
0000001123,263453.0,8.6,It's a Wonderful Life,1946
0000000233,395498.0,8.6,La vita è bella,1997
0000001232,689063.0,8.6,Léon,1994
0000001223,206434.0,8.5,C'era una volta il West,1968
0000000223,392267.0,8.5,Sen to Chihiro no kamikakushi,2001
0000001232,836189.0,8.5,Saving Private Ryan,1998
0000000123,842388.0,8.5,Interstellar,2014
0000001223,371977.0,8.5,Casablanca,1942
0000001232,747514.0,8.5,American History X,1998
0000001222,401249.0,8.5,Psycho,1960
0000000223,101726.0,8.5,City Lights,1931
0000001222,630560.0,8.5,Raiders of the Lost Ark,1981
0000001222,301273.0,8.5,Rear Window,1954
0000000232,469279.0,8.5,Intouchables,2011
0000001222,134149.0,8.5,Modern Times,1936
0000001232,738194.0,8.5,The Green Mile,1999
0000001222,710153.0,8.5,Terminator 2: Judgment Day,1991
0000000124,100529.0,8.5,Deadpool,2016
0000001232,471146.0,8.5,The Pianist,2002
0000001232,829051.0,8.5,The Departed,2006
0000001232,351050.0,8.5,Whiplash,2014
0000001222,691012.0,8.5,Back to the Future,1985
0000001232,807914.0,8.5,Memento,2000
0000001222,934553.0,8.5,Gladiator,2000
0000001222,432023.0,8.5,Apocalypse Now,1979
0000001223,328176.0,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
0000001232,798265.0,8.5,The Prestige,2006
0000001222,133075.0,8.4,Sunset Blvd.,1950
0000001223,604954.0,8.4,The Lion King,1994
0000001222,535990.0,8.4,Alien,1979
0000001222,129331.0,8.4,The Great Dictator,1940
0000001232,247476.0,8.4,Das Leben der Anderen,2006
0000001223,143867.0,8.4,Nuovo Cinema Paradiso,1988
0000001232,894838.0,8.4,Django Unchained,2012
0000001222,577674.0,8.4,The Shining,1980
0000001222,114704.0,8.4,Paths of Glory,1957
0000001223,1079966.0,8.4,The Dark Knight Rises,2012
0000001222,677520.0,8.4,WALL·E,2008
0000001223,128737.0,8.4,Hotaru no haka,1988
0000001222,786754.0,8.4,American Beauty,1999
0000001222,466961.0,8.4,Aliens,1986
0000001222,209021.0,8.4,Mononoke-hime,1997
0000001223,285758.0,8.4,Citizen Kane,1941
0000001222,337411.0,8.4,Oldeuboi,2003
0000001222,211427.0,8.4,North by Northwest,1959
0000001222,235814.0,8.4,Vertigo,1958
0000001222,210479.0,8.4,Once Upon a Time in America,1984
0000001222,161287.0,8.4,Das Boot,1981
0000001222,640693.0,8.3,Star Wars: Episode VI - Return of the Jedi,1983
0000001222,510281.0,8.3,Le fabuleux destin d'Amélie Poulain,2001
0000001221,630426.0,8.3,Reservoir Dogs,1992
0000001222,703412.0,8.3,Braveheart,1995
0000001222,547533.0,8.3,Requiem for a Dream,2000
0000001222,530358.0,8.3,A Clockwork Orange,1971
0000001222,480581.0,8.3,Taxi Driver,1976
0000001222,513756.0,8.3,Toy Story 3,2010
0000001222,433061.0,8.3,Star Wars: Episode VII - The Force Awakens,2015
0000001222,203562.0,8.3,To Kill a Mockingbird,1962
0000001222,183467.0,8.3,Lawrence of Arabia,1962
0000001222,634691.0,8.3,Eternal Sunshine of the Spotless Mind,2004
0000001321,460110.0,8.3,Full Metal Jacket,1987
0000001222,258213.0,8.3,Amadeus,1984
0000001222,167368.0,8.3,The Sting,1973
0000001222,142771.0,8.3,Singin' in the Rain,1952
0000001123,405200.0,8.3,2001: A Space Odyssey,1968
0000001222,575535.0,8.3,Snatch.,2000
0000001222,366282.0,8.3,Monty Python and the Holy Grail,1975
0000001322,586857.0,8.3,Toy Story,1995
0000001222,833933.0,8.3,Inglourious Basterds,2009
0000001321,398556.0,8.3,L.A. Confidential,1997
0000001321,148161.0,8.3,Per qualche dollaro in più,1965
0000001222,103868.0,8.3,The Apartment,1960
0000001321,490519.0,8.3,Indiana Jones and the Last Crusade,1989
0000001223,144318.0,8.3,Jodaeiye Nader az Simin,2011
0000001222,106473.0,8.3,Metropolis,1927
0000001222,512451.0,8.3,Scarface,1983
0000001222,270219.0,8.3,Inside Out,2015/I
0000001322,922979.0,8.2,Batman Begins,2005
0000001222,167507.0,8.2,Some Like It Hot,1959
0000001222,108819.0,8.2,The Third Man,1949
0000001221,265189.0,8.2,Unforgiven,1992
0000000124,191120.0,8.2,3 Idiots,2009
0000001331,156502.0,8.2,Jagten,2012
0000001222,623998.0,8.2,Up,2009
0000001321,573062.0,8.2,Good Will Hunting,1997
0000001222,225245.0,8.2,Raging Bull,1980
0000001321,238441.0,8.2,Der Untergang,2004
0000001321,567245.0,8.2,Die Hard,1988
0000001222,206693.0,8.2,Chinatown,1974
0000001322,158133.0,8.2,The Great Escape,1963
0000001222,414118.0,8.2,Heat,1995
0000001222,446611.0,8.2,El laberinto del fauno,2006
0000001222,159591.0,8.2,Tonari no Totoro,1988
0000001321,142078.0,8.2,The Bridge on the River Kwai,1957
0000001222,106525.0,8.2,Det sjunde inseglet,1957
0000001222,442283.0,8.2,Blade Runner,1982
0000001221,122570.0,8.2,El secreto de sus ojos,2009
0000001321,398717.0,8.2,"Lock, Stock and Two Smoking Barrels",1998
0000001321,317947.0,8.2,Casino,1995
0000001321,155391.0,8.2,The Elephant Man,1980
0000001222,200880.0,8.2,Hauru no ugoku shiro,2004
0000001222,230115.0,8.2,The Revenant,2015
0000001222,315522.0,8.2,Warrior,2011
0000001222,716968.0,8.2,The Wolf of Wall Street,2013
0000001222,754530.0,8.2,V for Vendetta,2005
0000001321,577004.0,8.1,A Beautiful Mind,2001
0000001321,538615.0,8.1,Gran Torino,2008
0000001222,511212.0,8.1,The Big Lebowski,1998
0000001221,223034.0,8.1,The Deer Hunter,1978
0000001213,205875.0,8.1,Gone with the Wind,1939
0000001321,115128.0,8.1,Cool Hand Luke,1967
0000001321,431794.0,8.1,Fargo,1996
0000001322,457100.0,8.1,How to Train Your Dragon,2010
0000001321,448963.0,8.1,Trainspotting,1996
0000001321,100615.0,8.1,Dial M for Murder,1954
0000001321,674747.0,8.1,The Sixth Sense,1999
0000001222,404761.0,8.1,Into the Wild,2007
0000001321,647745.0,8.1,Finding Nemo,2003
0000001222,245032.0,8.1,The Thing,1982
0000001221,582872.0,8.1,No Country for Old Men,2007
0000001321,524787.0,8.1,Gone Girl,2014
0000001222,112505.0,8.1,Mary and Max,2009
0000001222,455881.0,8.1,Mad Max: Fury Road,2015
0000001221,700511.0,8.1,Kill Bill: Vol. 1,2003
0000001321,292350.0,8.1,Rush,2013/I
0000001222,108149.0,8.1,The Maltese Falcon,1941
0000001222,260132.0,8.1,Life of Brian,1979
0000001321,253687.0,8.1,Hotel Rwanda,2004
0000001321,279647.0,8.1,Platoon,1986
0000001222,355978.0,8.1,There Will Be Blood,2007
0000001321,144909.0,8.1,Butch Cassidy and the Sundance Kid,1969
0000001321,258957.0,8.1,Stand by Me,1986
0000001321,407264.0,8.1,12 Years a Slave,2013
0000001222,280988.0,8.1,The Princess Bride,1987
0000001321,435307.0,8.1,The Grand Budapest Hotel,2014
0000001321,103538.0,8.1,In the Name of the Father,1993
0000001321,166596.0,8.1,Amores perros,2000
0000001321,738727.0,8.1,Shutter Island,2010
0000001321,459882.0,8.1,Million Dollar Baby,2004
0000001222,183260.0,8.1,Annie Hall,1977
0000001222,152204.0,8.1,Ben-Hur,1959
0000001222,141827.0,8.1,Hachi: A Dog's Tale,2009
0000001321,574866.0,8.0,Jurassic Park,1993
0000001321,163715.0,8.0,Gandhi,1982
0000001321,465636.0,8.0,The Bourne Ultimatum,2007
0000001222,556441.0,8.0,Donnie Darko,2001
0000001321,345073.0,8.0,The Martian,2015
0000001212,278597.0,8.0,The Wizard of Oz,1939
0000001222,172906.0,8.0,Before Sunrise,1995
0000001222,633808.0,8.0,Sin City,2005
0000001321,570947.0,8.0,The Terminator,1984
0000001321,352714.0,8.0,Rocky,1976
0000001321,632504.0,8.0,The Truman Show,1998
0000001321,443566.0,8.0,Twelve Monkeys,1995
0000001321,415321.0,8.0,Groundhog Day,1993
0000001321,550050.0,8.0,"Monsters, Inc.",2001
0000001222,511467.0,8.0,Harry Potter and the Deathly Hallows: Part 2,2011
0000001211,392515.0,8.0,Jaws,1975
0000001222,933861.0,8.0,The Avengers,2012
0000001321,174874.0,8.0,Dog Day Afternoon,1975
0000001321,355594.0,8.0,Prisoners,2013
0000001321,154679.0,8.0,Yip Man,2008
0000001321,414895.0,8.0,The Imitation Game,2014
0000001321,476572.0,8.0,The King's Speech,2010
0000001222,614407.0,8.0,Guardians of the Galaxy,2014
0000001321,772709.0,8.0,Pirates of the Caribbean: The Curse of the Black Pearl,2003
0000001321,137738.0,8.0,Per un pugno di dollari,1964
0000001321,303909.0,8.0,The Help,2011
0000001321,481930.0,8.0,Catch Me If You Can,2002
0000001212,291709.0,8.0,Beauty and the Beast,1991
0000001222,160456.0,8.0,Before Sunset,2004
0000000124,141528.0,8.4,"""24""",2001
0000001212,126552.0,7.5,"""Agents of S.H.I.E.L.D.""",2013
0000001223,183244.0,8.3,"""American Horror Story""",2011
0000000125,202274.0,9.0,"""Arrested Development""",2003
0000001123,274619.0,8.1,"""Arrow""",2012
0000000026,120895.0,9.2,"""Avatar: The Last Airbender""",2005
0000000017,208859.0,9.6,"""Band of Brothers""",2001
0000000124,115718.0,8.8,"""Battlestar Galactica""",2004
0000000133,121928.0,8.8,"""Better Call Saul""",2015
0000000233,129846.0,8.6,"""Boardwalk Empire""",2010
0000001213,105882.0,8.0,"""Bones""",2005
0000000016,810235.0,9.5,"""Breaking Bad""",2008
0000001223,142703.0,8.4,"""Californication""",2007
0000001223,113418.0,8.2,"""Castle""",2009
0000001124,105809.0,8.2,"""Chuck""",2007
0000000123,138447.0,8.6,"""Community""",2009
0000001223,104076.0,8.2,"""Criminal Minds""",2005
0000000134,160144.0,8.8,"""Daredevil""",2015
0000000124,473726.0,8.8,"""Dexter""",2006
0000000125,141581.0,8.8,"""Doctor Who""",2005
0000000124,104666.0,8.7,"""Downton Abbey""",2010
0000000124,130968.0,8.6,"""Entourage""",2004
0000000123,229072.0,8.3,"""Family Guy""",1999
0000000134,146645.0,9.1,"""Fargo""",2014
0000000125,178286.0,9.1,"""Firefly""",2002
0000000125,444013.0,9.0,"""Friends""",1994
0000000123,171259.0,8.5,"""Fringe""",2008
0000001123,143658.0,8.6,"""Futurama""",1999
0000000016,914980.0,9.5,"""Game of Thrones""",2011
0000001113,114745.0,6.7,"""Glee""",2009
0000001113,110549.0,7.4,"""Gossip Girl""",2007
0000001222,114570.0,8.0,"""Gotham""",2014
0000001113,152901.0,7.7,"""Grey's Anatomy""",2005
0000000123,149867.0,8.6,"""Hannibal""",2013
0000001212,197170.0,7.7,"""Heroes""",2006/II
0000000232,216581.0,8.4,"""Homeland""",2011
0000000124,289902.0,8.8,"""House M.D.""",2004
0000000134,272791.0,9.0,"""House of Cards""",2013
0000000123,430013.0,8.4,"""How I Met Your Mother""",2005
0000000124,126256.0,8.8,"""It's Always Sunny in Philadelphia""",2005
0000000124,359714.0,8.5,"""Lost""",2004
0000000123,136420.0,8.7,"""Mad Men""",2007
0000000123,229814.0,8.6,"""Modern Family""",2009
0000000124,119196.0,8.9,"""Mr. Robot""",2015
0000001212,130678.0,7.8,"""New Girl""",2011
0000001113,159872.0,8.0,"""Once Upon a Time""",2011
0000001222,169499.0,8.3,"""Orange Is the New Black""",2013
0000000123,111897.0,8.6,"""Parks and Recreation""",2009
0000000123,113118.0,8.4,"""Person of Interest""",2011
0000001114,108461.0,7.8,"""Pretty Little Liars""",2010
0000000124,305746.0,8.5,"""Prison Break""",2005
0000000134,106866.0,8.9,"""Rome""",2005
0000000124,185175.0,8.4,"""Scrubs""",2001
0000000125,162947.0,8.9,"""Seinfeld""",1989
0000000025,462515.0,9.3,"""Sherlock""",2010
0000000124,169725.0,8.6,"""Sons of Anarchy""",2008
0000000124,225974.0,8.8,"""South Park""",1997
0000000124,165109.0,8.6,"""Spartacus: Blood and Sand""",2010
0000000134,221614.0,8.7,"""Suits""",2011
0000000115,267506.0,8.6,"""Supernatural""",2005
0000001222,110085.0,8.1,"""That '70s Show""",1998
0000000123,505789.0,8.4,"""The Big Bang Theory""",2007
0000001223,146396.0,8.2,"""The Flash""",2014
0000001223,127331.0,8.1,"""The Mentalist""",2008
0000000124,188759.0,8.8,"""The Office""",2005
0000000124,250143.0,8.8,"""The Simpsons""",1989
0000000025,178827.0,9.2,"""The Sopranos""",1999
0000000114,209833.0,7.9,"""The Vampire Diaries""",2009
0000000124,588934.0,8.6,"""The Walking Dead""",2010
0000000016,177742.0,9.4,"""The Wire""",2002
0000000123,136297.0,8.7,"""The X Files""",1993
0000001213,199527.0,8.0,"""True Blood""",2008
0000000125,303486.0,9.1,"""True Detective""",2014
0000000124,102932.0,8.9,"""Twin Peaks""",1990
0000001112,190946.0,7.1,"""Two and a Half Men""",2003
0000000133,163813.0,8.6,"""Vikings""",2013
0000002311,361385.0,7.8,(500) Days of Summer,2009
0000012211,211996.0,7.2,10 Things I Hate About You,1999
0001111000,106190.0,5.1,"10,000 BC",2008
0000002311,268073.0,7.6,127 Hours,2010
0000122100,116619.0,6.1,13 Going on 30,2004
0000012100,203009.0,6.8,1408,2007
0000023100,110619.0,6.6,16 Blocks,2006
0000122100,141142.0,6.4,17 Again,2009
0000121000,182523.0,5.8,2 Fast 2 Furious,2003
0000023100,150439.0,6.7,2 Guns,2013
0000121100,271825.0,5.8,2012,2009/I
0000023100,186744.0,6.8,21,2008
0000002311,183962.0,7.7,21 Grams,2003
0000012211,390104.0,7.2,21 Jump Street,2012
0000012211,240319.0,7.1,22 Jump Street,2014
0000002311,146592.0,7.7,25th Hour,2002
0000122100,119077.0,6.1,27 Dresses,2008
0000002311,285582.0,7.6,28 Days Later...,2002
0000013200,204912.0,7.0,28 Weeks Later,2007
0000000124,191120.0,8.4,3 Idiots,2009
0000122100,134188.0,6.6,30 Days of Night,2007
0000001212,586077.0,7.7,300,2006
0000122100,213984.0,6.3,300: Rise of an Empire,2014
0000002311,230703.0,7.8,3:10 to Yuma,2007
0000122100,112265.0,6.3,47 Ronin,2013
0001221000,205269.0,5.6,4: Rise of the Silver Surfer,2007
0000012100,256811.0,6.8,50 First Dates,2004
0000002311,262228.0,7.7,50/50,2011
0000013201,176964.0,7.0,8 Mile,2002
0000122100,102334.0,6.5,8MM,1999
0000013210,107479.0,7.1,9,2009/I
0000001321,577004.0,8.2,A Beautiful Mind,2001
0000013200,202494.0,7.2,A Bug's Life,1998
0000001212,103769.0,8.1,A Christmas Story,1983
0000001222,530358.0,8.4,A Clockwork Orange,1971
0000002311,176036.0,7.6,A Few Good Men,1992
0000002311,105586.0,7.6,A Fish Called Wanda,1988
0001221000,160154.0,5.3,A Good Day to Die Hard,2013
0000012310,181420.0,7.5,A History of Violence,2005
0000012201,132431.0,6.9,A Knight's Tale,2001
0000122100,129220.0,6.1,A Million Ways to Die in the West,2014
0000012211,142583.0,7.5,A Nightmare on Elm Street,1984
0000011212,156828.0,7.4,A Walk to Remember,2002
0001121000,138426.0,5.6,AVP: Alien vs. Predator,2004
0000012210,105510.0,7.2,About Schmidt,2002
0000001311,188238.0,7.8,About Time,2013/I
0000013210,140852.0,7.1,About a Boy,2002
0000122100,125118.0,5.9,Abraham Lincoln: Vampire Hunter,2012
0000122100,102871.0,6.5,Accepted,2006
0000013100,208053.0,6.9,Ace Ventura: Pet Detective,1994
0000122100,154308.0,6.3,Ace Ventura: When Nature Calls,1995
0000001211,138867.0,7.7,Adaptation.,2002
0000013100,126276.0,6.8,Adventureland,2009
0001111000,153367.0,4.9,After Earth,2013
0000122100,141357.0,6.4,Air Force One,1997
0000002211,153927.0,7.8,Airplane!,1980
0000001311,247275.0,8.0,Aladdin,1992
0001121000,135711.0,5.5,Alexander,2004
0000122100,290694.0,6.5,Alice in Wonderland,2010/I
0000001222,535990.0,8.5,Alien,1979
0000122100,162971.0,6.3,Alien: Resurrection,1997
0000122100,198684.0,6.4,Alien³,1992
0000001211,200117.0,7.9,Almost Famous,2000
0000132000,104177.0,5.9,Along Came Polly,2004
0000002311,316741.0,7.8,American Gangster,2007
0000001232,747514.0,8.6,American History X,1998
0000012210,344007.0,7.3,American Hustle,2013
0000013200,306871.0,7.0,American Pie,1999
0000122100,194261.0,6.4,American Pie 2,2001
0000002311,341403.0,7.6,American Psycho,2000
0000012101,167419.0,6.7,American Reunion,2012
0000012211,300088.0,7.3,American Sniper,2014
0000122100,157397.0,6.3,American Wedding,2003
0000013210,109368.0,7.3,An Education,2009
0000023100,120682.0,6.7,Analyze This,1999
0000122100,124443.0,6.3,Anchorman 2: The Legend Continues,2013
0000012211,257689.0,7.2,Anchorman: The Legend of Ron Burgundy,2004
0000023100,199103.0,6.7,Angels & Demons,2009
0000122100,166510.0,6.2,Anger Management,2003
0000012311,238204.0,7.4,Ant-Man,2015
0000123100,120939.0,6.6,Antz,1998
0000001311,228691.0,7.8,Apocalypto,2006
0000002311,201862.0,7.6,Apollo 13,1995
0000002310,432514.0,7.8,Argo,2012
0000012100,311518.0,6.6,Armageddon,1998
0000002211,123873.0,7.6,Army of Darkness,1992
0000012211,230884.0,7.1,Artificial Intelligence: AI,2001
0000002311,219320.0,7.7,As Good as It Gets,1997
0000001211,185999.0,7.8,Atonement,2007
0000122100,157854.0,6.2,Austin Powers in Goldmember,2002
0000013200,177233.0,7.0,Austin Powers: International Man of Mystery,1997
0000023100,175409.0,6.6,Austin Powers: The Spy Who Shagged Me,1999
0000012100,100000.0,6.6,Australia,2008
0000001212,851993.0,7.9,Avatar,2009
0000012211,390991.0,7.6,Avengers: Age of Ultron,2015
0000012310,237171.0,7.5,Babel,2006/I
0000002311,320623.0,7.8,Back to the Future Part II,1989
0000012211,266260.0,7.4,Back to the Future Part III,1990
0000013100,165232.0,6.8,Bad Boys,1995
0000022100,172071.0,6.6,Bad Boys II,2003
0000012211,105661.0,7.1,Bad Santa,2003
0000221000,155142.0,5.7,Bad Teacher,2011
0000013200,129040.0,6.9,Basic Instinct,1992
1111100000,182448.0,3.7,Batman & Robin,1997
0000012311,257509.0,7.6,Batman,1989
0000001322,922979.0,8.3,Batman Begins,2005
0001221000,183007.0,5.4,Batman Forever,1995
0000013200,205850.0,7.0,Batman Returns,1992
0000001311,134567.0,7.7,Batoru rowaiaru,2000
0000121100,151900.0,5.8,Battle Los Angeles,2011
0000122100,196621.0,5.9,Battleship,2012
0000122100,101149.0,6.2,Bee Movie,2007
0000012211,179580.0,7.5,Beetlejuice,1988
0000001222,172906.0,8.1,Before Sunrise,1995
0000001321,246776.0,7.8,Being John Malkovich,1999
0000122100,139711.0,6.3,Beowulf,2007
0000013200,121367.0,7.3,Beverly Hills Cop,1984
0000013210,146872.0,7.3,Big,1988
0000122100,155910.0,6.4,Big Daddy,1999
0000001221,341980.0,8.0,Big Fish,2003
0000002321,247303.0,7.9,Big Hero 6,2014
0000122100,101486.0,6.4,Billy Madison,1995
0000001221,359976.0,7.8,Birdman or (The Unexpected Virtue of Ignorance),2014
0000002311,282247.0,7.7,Black Hawk Down,2001
0000001221,531126.0,8.0,Black Swan,2010
0000013200,183359.0,7.1,Blade,1998
0000023100,151481.0,6.7,Blade II,2002
0000121000,127318.0,5.9,Blade: Trinity,2004
0000122100,125608.0,6.3,Blades of Glory,2007
0000001321,384076.0,8.0,Blood Diamond,2006
0000002311,192270.0,7.6,Blow,2001
0000013210,142441.0,7.3,Blue Jasmine,2013
0000012210,136031.0,7.4,Blue Valentine,2010
0000001211,126741.0,7.8,Blue Velvet,1986
0000013200,168402.0,7.1,Body of Lies,2008
0000013200,140456.0,6.9,Bolt,2008
0000002311,182510.0,7.9,Boogie Nights,1997
0000012211,286426.0,7.3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
0000001222,120322.0,8.0,Bowling for Columbine,2002
0000001221,249862.0,8.0,Boyhood,2014/I
0000013210,260449.0,7.2,Brave,2012
0000001222,703412.0,8.4,Braveheart,1995
0000001222,147401.0,8.0,Brazil,1985
0000002211,117163.0,7.8,Breakfast at Tiffany's,1961
0000012200,209781.0,6.8,Bridesmaids,2011/I
0000002310,109174.0,7.7,Bridge of Spies,2015
0000012211,106136.0,7.2,Bridge to Terabithia,2007
0000012100,164717.0,6.7,Bridget Jones's Diary,2001
0000001212,251665.0,7.7,Brokeback Mountain,2005
0000023100,285582.0,6.7,Bruce Almighty,2003
0000111100,115185.0,5.9,Brüno,2009
0000012200,114058.0,7.0,Buried,2010
0000012200,240303.0,7.0,Burn After Reading,2008
0000001223,206434.0,8.6,C'era una volta il West,1968
0000013210,122608.0,7.3,Cape Fear,1991
0000013100,467465.0,6.8,Captain America: The First Avenger,2011
0000002311,442270.0,7.8,Captain America: The Winter Soldier,2014
0000002321,310421.0,7.9,Captain Phillips,2013
0000002311,158200.0,7.9,Carlito's Way,1993
0000012211,120932.0,7.4,Carrie,1976
0000122000,103722.0,5.9,Carrie,2013
0000012211,247857.0,7.2,Cars,2006
0000001223,371977.0,8.6,Casablanca,1942
0000001321,450111.0,8.0,Casino Royale,2006
0000002311,376291.0,7.7,Cast Away,2000
0000002311,194198.0,7.8,Changeling,2008
0000012210,157924.0,6.9,Chappie,2015
0000012100,305378.0,6.7,Charlie and the Chocolate Factory,2005
0001221000,141650.0,5.5,Charlie's Angels,2000
0000012211,110844.0,7.4,Chasing Amy,1997
0000013210,128670.0,7.3,Chef,2014
0000012211,166974.0,7.2,Chicago,2002
0000013200,135015.0,7.0,Chicken Run,2000
0000001221,350034.0,7.9,Children of Men,2006
0000001222,206693.0,8.3,Chinatown,1974
0000012210,146023.0,7.3,Chocolat,2000
0000012211,103536.0,7.6,Christmas Vacation,1989
0000012200,196922.0,7.1,Chronicle,2012
0000000232,510263.0,8.7,Cidade de Deus,2002
0000001321,144365.0,8.0,Cinderella Man,2005
0000000223,101726.0,8.6,City Lights,1931
0000121000,222734.0,5.8,Clash of the Titans,2010
0000001212,176873.0,7.8,Clerks,1994
0000012211,112274.0,7.4,Clerks II,2006
0000122100,237463.0,6.4,Click,2006
0000002211,133775.0,7.7,Close Encounters of the Third Kind,1977
0000012211,164439.0,7.3,Closer,2004/I
0000011211,275379.0,7.5,Cloud Atlas,2012
0000013200,144595.0,7.0,Cloudy with a Chance of Meatballs,2009
0000012211,275741.0,7.1,Cloverfield,2008
0000012101,115940.0,6.8,Clueless,1995
0000012210,115890.0,7.2,Cold Mountain,2003
0000002310,285711.0,7.6,Collateral,2004
0000013200,115178.0,6.9,Coming to America,1988
0000122101,106656.0,6.7,Commando,1985
0000013100,218440.0,6.8,Con Air,1997
0000012101,109964.0,6.9,Conan the Barbarian,1982
0000012200,227625.0,6.9,Constantine,2005
